,prior,eos,kr,sch
0,1,0,1,2026.01.01
1,1,0,1,2026.04.01
2,1,0,1,2026.07.01
3,1,0,1,2026.10.01
4,1,0,1,2027.01.01
5,1,0,1,2027.04.01
6,1,0,1,2027.07.01
7,1,0,1,2027.10.01
8,1,0,1,2028.01.01
9,2,0,1,2026.01.01
10,2,0,1,2026.04.01
11,2,0,1,2026.07.01
12,2,0,1,2026.10.01
13,2,0,1,2027.01.01
14,2,0,1,2027.04.01
15,2,0,1,2027.07.01
16,2,0,1,2027.10.01
17,2,0,1,2028.01.01
18,3,0,1,2026.01.01
19,3,0,1,2026.04.01
20,3,0,1,2026.07.01
21,3,0,1,2026.10.01
22,3,0,1,2027.01.01
23,3,0,1,2027.04.01
24,3,0,1,2027.07.01
25,3,0,1,2027.10.01
26,3,0,1,2028.01.01
27,4,0,1,2026.01.01
28,4,0,1,2026.04.01
29,4,0,1,2026.07.01
30,4,0,1,2026.10.01
31,4,0,1,2027.01.01
32,4,0,1,2027.04.01
33,4,0,1,2027.07.01
34,4,0,1,2027.10.01
35,4,0,1,2028.01.01
36,5,0,1,2026.01.01
37,5,0,1,2026.04.01
38,5,0,1,2026.07.01
39,5,0,1,2026.10.01
40,5,0,1,2027.01.01
41,5,0,1,2027.04.01
42,5,0,1,2027.07.01
43,5,0,1,2027.10.01
44,5,0,1,2028.01.01
45,6,0,1,2026.01.01
46,6,0,1,2026.04.01
47,6,0,1,2026.07.01
48,6,0,1,2026.10.01
49,6,0,1,2027.01.01
50,6,0,1,2027.04.01
51,6,0,1,2027.07.01
52,6,0,1,2027.10.01
53,6,0,1,2028.01.01
54,7,0,1,2026.01.01
55,7,0,1,2026.04.01
56,7,0,1,2026.07.01
57,7,0,1,2026.10.01
58,7,0,1,2027.01.01
59,7,0,1,2027.04.01
60,7,0,1,2027.07.01
61,7,0,1,2027.10.01
62,7,0,1,2028.01.01
63,8,0,1,2026.01.01
64,8,0,1,2026.04.01
65,8,0,1,2026.07.01
66,8,0,1,2026.10.01
67,8,0,1,2027.01.01
68,8,0,1,2027.04.01
69,8,0,1,2027.07.01
70,8,0,1,2027.10.01
71,8,0,1,2028.01.01
72,9,0,1,2026.01.01
73,9,0,1,2026.04.01
74,9,0,1,2026.07.01
75,9,0,1,2026.10.01
76,9,0,1,2027.01.01
77,9,0,1,2027.04.01
78,9,0,1,2027.07.01
79,9,0,1,2027.10.01
80,9,0,1,2028.01.01
81,10,0,1,2026.01.01
82,10,0,1,2026.04.01
83,10,0,1,2026.07.01
84,10,0,1,2026.10.01
85,10,0,1,2027.01.01
86,10,0,1,2027.04.01
87,10,0,1,2027.07.01
88,10,0,1,2027.10.01
89,10,0,1,2028.01.01
90,11,0,1,2026.01.01
91,11,0,1,2026.04.01
92,11,0,1,2026.07.01
