,prior,eos,kr,fault,uw,woc
0,82,0,0,0.001,0.25,5650.0
1,82,0,0,0.001,0.25,5700.0
2,82,0,0,0.001,0.25,5750.0
3,82,0,0,0.001,0.35,5650.0
4,82,0,0,0.001,0.35,5700.0
5,82,0,0,0.001,0.35,5750.0
6,82,0,0,0.001,0.45,5650.0
7,82,0,0,0.001,0.45,5700.0
8,82,0,0,0.001,0.45,5750.0
9,82,0,0,0.01,0.25,5650.0
10,82,0,0,0.01,0.25,5700.0
11,82,0,0,0.01,0.25,5750.0
12,82,0,0,0.01,0.35,5650.0
13,82,0,0,0.01,0.35,5700.0
14,82,0,0,0.01,0.35,5750.0
15,82,0,0,0.01,0.45,5650.0
16,82,0,0,0.01,0.45,5700.0
17,82,0,0,0.01,0.45,5750.0
18,82,0,0,0.1,0.25,5650.0
19,82,0,0,0.1,0.25,5700.0
20,82,0,0,0.1,0.25,5750.0
21,82,0,0,0.1,0.35,5650.0
22,82,0,0,0.1,0.35,5700.0
23,82,0,0,0.1,0.35,5750.0
24,82,0,0,0.1,0.45,5650.0
25,82,0,0,0.1,0.45,5700.0
26,82,0,0,0.1,0.45,5750.0
27,82,0,1,0.001,0.25,5650.0
28,82,0,1,0.001,0.25,5700.0
29,82,0,1,0.001,0.25,5750.0
30,82,0,1,0.001,0.35,5650.0
31,82,0,1,0.001,0.35,5700.0
32,82,0,1,0.001,0.35,5750.0
33,82,0,1,0.001,0.45,5650.0
34,82,0,1,0.001,0.45,5700.0
35,82,0,1,0.001,0.45,5750.0
36,82,0,1,0.01,0.25,5650.0
37,82,0,1,0.01,0.25,5700.0
38,82,0,1,0.01,0.25,5750.0
39,82,0,1,0.01,0.35,5650.0
40,82,0,1,0.01,0.35,5700.0
41,82,0,1,0.01,0.35,5750.0
42,82,0,1,0.01,0.45,5650.0
43,82,0,1,0.01,0.45,5700.0
44,82,0,1,0.01,0.45,5750.0
45,82,0,1,0.1,0.25,5650.0
46,82,0,1,0.1,0.25,5700.0
47,82,0,1,0.1,0.25,5750.0
48,82,0,1,0.1,0.35,5650.0
49,82,0,1,0.1,0.35,5700.0
50,82,0,1,0.1,0.35,5750.0
51,82,0,1,0.1,0.45,5650.0
52,82,0,1,0.1,0.45,5700.0
53,82,0,1,0.1,0.45,5750.0
54,82,0,2,0.001,0.25,5650.0
55,82,0,2,0.001,0.25,5700.0
56,82,0,2,0.001,0.25,5750.0
57,82,0,2,0.001,0.35,5650.0
58,82,0,2,0.001,0.35,5700.0
59,82,0,2,0.001,0.35,5750.0
60,82,0,2,0.001,0.45,5650.0
61,82,0,2,0.001,0.45,5700.0
62,82,0,2,0.001,0.45,5750.0
63,82,0,2,0.01,0.25,5650.0
64,82,0,2,0.01,0.25,5700.0
65,82,0,2,0.01,0.25,5750.0
66,82,0,2,0.01,0.35,5650.0
67,82,0,2,0.01,0.35,5700.0
68,82,0,2,0.01,0.35,5750.0
69,82,0,2,0.01,0.45,5650.0
70,82,0,2,0.01,0.45,5700.0
71,82,0,2,0.01,0.45,5750.0
72,82,0,2,0.1,0.25,5650.0
73,82,0,2,0.1,0.25,5700.0
74,82,0,2,0.1,0.25,5750.0
75,82,0,2,0.1,0.35,5650.0
76,82,0,2,0.1,0.35,5700.0
77,82,0,2,0.1,0.35,5750.0
78,82,0,2,0.1,0.45,5650.0
79,82,0,2,0.1,0.45,5700.0
80,82,0,2,0.1,0.45,5750.0
81,82,1,0,0.001,0.25,5650.0
82,82,1,0,0.001,0.25,5700.0
83,82,1,0,0.001,0.25,5750.0
84,82,1,0,0.001,0.35,5650.0
85,82,1,0,0.001,0.35,5700.0
86,82,1,0,0.001,0.35,5750.0
87,82,1,0,0.001,0.45,5650.0
88,82,1,0,0.001,0.45,5700.0
89,82,1,0,0.001,0.45,5750.0
90,82,1,0,0.01,0.25,5650.0
91,82,1,0,0.01,0.25,5700.0
92,82,1,0,0.01,0.25,5750.0
93,82,1,0,0.01,0.35,5650.0
94,82,1,0,0.01,0.35,5700.0
95,82,1,0,0.01,0.35,5750.0
96,82,1,0,0.01,0.45,5650.0
97,82,1,0,0.01,0.45,5700.0
98,82,1,0,0.01,0.45,5750.0
99,82,1,0,0.1,0.25,5650.0
100,82,1,0,0.1,0.25,5700.0
101,82,1,0,0.1,0.25,5750.0
102,82,1,0,0.1,0.35,5650.0
103,82,1,0,0.1,0.35,5700.0
104,82,1,0,0.1,0.35,5750.0
105,82,1,0,0.1,0.45,5650.0
106,82,1,0,0.1,0.45,5700.0
107,82,1,0,0.1,0.45,5750.0
108,82,1,1,0.001,0.25,5650.0
109,82,1,1,0.001,0.25,5700.0
110,82,1,1,0.001,0.25,5750.0
111,82,1,1,0.001,0.35,5650.0
112,82,1,1,0.001,0.35,5700.0
113,82,1,1,0.001,0.35,5750.0
114,82,1,1,0.001,0.45,5650.0
115,82,1,1,0.001,0.45,5700.0
116,82,1,1,0.001,0.45,5750.0
117,82,1,1,0.01,0.25,5650.0
118,82,1,1,0.01,0.25,5700.0
119,82,1,1,0.01,0.25,5750.0
120,82,1,1,0.01,0.35,5650.0
121,82,1,1,0.01,0.35,5700.0
122,82,1,1,0.01,0.35,5750.0
123,82,1,1,0.01,0.45,5650.0
124,82,1,1,0.01,0.45,5700.0
125,82,1,1,0.01,0.45,5750.0
126,82,1,1,0.1,0.25,5650.0
127,82,1,1,0.1,0.25,5700.0
128,82,1,1,0.1,0.25,5750.0
129,82,1,1,0.1,0.35,5650.0
130,82,1,1,0.1,0.35,5700.0
131,82,1,1,0.1,0.35,5750.0
132,82,1,1,0.1,0.45,5650.0
133,82,1,1,0.1,0.45,5700.0
134,82,1,1,0.1,0.45,5750.0
135,82,1,2,0.001,0.25,5650.0
136,82,1,2,0.001,0.25,5700.0
137,82,1,2,0.001,0.25,5750.0
138,82,1,2,0.001,0.35,5650.0
139,82,1,2,0.001,0.35,5700.0
140,82,1,2,0.001,0.35,5750.0
141,82,1,2,0.001,0.45,5650.0
142,82,1,2,0.001,0.45,5700.0
143,82,1,2,0.001,0.45,5750.0
144,82,1,2,0.01,0.25,5650.0
145,82,1,2,0.01,0.25,5700.0
146,82,1,2,0.01,0.25,5750.0
147,82,1,2,0.01,0.35,5650.0
148,82,1,2,0.01,0.35,5700.0
149,82,1,2,0.01,0.35,5750.0
150,82,1,2,0.01,0.45,5650.0
151,82,1,2,0.01,0.45,5700.0
152,82,1,2,0.01,0.45,5750.0
153,82,1,2,0.1,0.25,5650.0
154,82,1,2,0.1,0.25,5700.0
155,82,1,2,0.1,0.25,5750.0
156,82,1,2,0.1,0.35,5650.0
157,82,1,2,0.1,0.35,5700.0
158,82,1,2,0.1,0.35,5750.0
159,82,1,2,0.1,0.45,5650.0
160,82,1,2,0.1,0.45,5700.0
161,82,1,2,0.1,0.45,5750.0
162,82,2,0,0.001,0.25,5650.0
163,82,2,0,0.001,0.25,5700.0
164,82,2,0,0.001,0.25,5750.0
165,82,2,0,0.001,0.35,5650.0
166,82,2,0,0.001,0.35,5700.0
167,82,2,0,0.001,0.35,5750.0
168,82,2,0,0.001,0.45,5650.0
169,82,2,0,0.001,0.45,5700.0
170,82,2,0,0.001,0.45,5750.0
171,82,2,0,0.01,0.25,5650.0
172,82,2,0,0.01,0.25,5700.0
173,82,2,0,0.01,0.25,5750.0
174,82,2,0,0.01,0.35,5650.0
175,82,2,0,0.01,0.35,5700.0
176,82,2,0,0.01,0.35,5750.0
177,82,2,0,0.01,0.45,5650.0
178,82,2,0,0.01,0.45,5700.0
179,82,2,0,0.01,0.45,5750.0
180,82,2,0,0.1,0.25,5650.0
181,82,2,0,0.1,0.25,5700.0
182,82,2,0,0.1,0.25,5750.0
183,82,2,0,0.1,0.35,5650.0
184,82,2,0,0.1,0.35,5700.0
185,82,2,0,0.1,0.35,5750.0
186,82,2,0,0.1,0.45,5650.0
187,82,2,0,0.1,0.45,5700.0
188,82,2,0,0.1,0.45,5750.0
189,82,2,1,0.001,0.25,5650.0
190,82,2,1,0.001,0.25,5700.0
191,82,2,1,0.001,0.25,5750.0
