index,prior,eos,kr,gormax
0,1,0,1,1000
1,1,0,1,1100
2,1,0,1,1200
3,1,0,1,1300
4,1,0,1,1400
5,1,0,1,1500
6,1,0,1,1600
7,1,0,1,1700
8,1,0,1,1800
9,1,0,1,1900
10,1,0,1,2000
11,2,0,1,1000
12,2,0,1,1100
13,2,0,1,1200
14,2,0,1,1300
15,2,0,1,1400
16,2,0,1,1500
17,2,0,1,1600
18,2,0,1,1700
19,2,0,1,1800
20,2,0,1,1900
21,2,0,1,2000
22,3,0,1,1000
23,3,0,1,1100
24,3,0,1,1200
25,3,0,1,1300
26,3,0,1,1400
27,3,0,1,1500
28,3,0,1,1600
29,3,0,1,1700
30,3,0,1,1800
31,3,0,1,1900
32,3,0,1,2000
33,4,0,1,1000
34,4,0,1,1100
35,4,0,1,1200
36,4,0,1,1300
37,4,0,1,1400
38,4,0,1,1500
39,4,0,1,1600
40,4,0,1,1700
41,4,0,1,1800
42,4,0,1,1900
43,4,0,1,2000
44,5,0,1,1000
45,5,0,1,1100
46,5,0,1,1200
47,5,0,1,1300
48,5,0,1,1400
49,5,0,1,1500
50,5,0,1,1600
51,5,0,1,1700
52,5,0,1,1800
53,5,0,1,1900
54,5,0,1,2000
55,6,0,1,1000
56,6,0,1,1100
57,6,0,1,1200
58,6,0,1,1300
59,6,0,1,1400
60,6,0,1,1500
61,6,0,1,1600
62,6,0,1,1700
63,6,0,1,1800
64,6,0,1,1900
65,6,0,1,2000
66,7,0,1,1000
67,7,0,1,1100
68,7,0,1,1200
69,7,0,1,1300
70,7,0,1,1400
71,7,0,1,1500
72,7,0,1,1600
73,7,0,1,1700
74,7,0,1,1800
75,7,0,1,1900
76,7,0,1,2000
77,8,0,1,1000
78,8,0,1,1100
79,8,0,1,1200
80,8,0,1,1300
81,8,0,1,1400
82,8,0,1,1500
83,8,0,1,1600
84,8,0,1,1700
85,8,0,1,1800
86,8,0,1,1900
87,8,0,1,2000
88,9,0,1,1000
89,9,0,1,1100
90,9,0,1,1200
91,9,0,1,1300
92,9,0,1,1400
93,9,0,1,1500
94,9,0,1,1600
95,9,0,1,1700
96,9,0,1,1800
97,9,0,1,1900
98,9,0,1,2000
99,10,0,1,1000
100,10,0,1,1100
101,10,0,1,1200
102,10,0,1,1300
103,10,0,1,1400
104,10,0,1,1500
105,10,0,1,1600
106,10,0,1,1700
107,10,0,1,1800
108,10,0,1,1900
109,10,0,1,2000
110,11,0,1,1000
111,11,0,1,1100
112,11,0,1,1200
113,11,0,1,1300
114,11,0,1,1400
115,11,0,1,1500
116,11,0,1,1600
117,11,0,1,1700
118,11,0,1,1800
119,11,0,1,1900
120,11,0,1,2000
121,12,0,1,1000
122,12,0,1,1100
123,12,0,1,1200
124,12,0,1,1300
125,12,0,1,1400
126,12,0,1,1500
127,12,0,1,1600
128,12,0,1,1700
129,12,0,1,1800
130,12,0,1,1900
131,12,0,1,2000
132,13,0,1,1000
133,13,0,1,1100
134,13,0,1,1200
135,13,0,1,1300
136,13,0,1,1400
137,13,0,1,1500
138,13,0,1,1600
139,13,0,1,1700
140,13,0,1,1800
141,13,0,1,1900
142,13,0,1,2000
143,14,0,1,1000
144,14,0,1,1100
145,14,0,1,1200
146,14,0,1,1300
147,14,0,1,1400
148,14,0,1,1500
149,14,0,1,1600
150,14,0,1,1700
151,14,0,1,1800
152,14,0,1,1900
153,14,0,1,2000
154,15,0,1,1000
155,15,0,1,1100
156,15,0,1,1200
157,15,0,1,1300
158,15,0,1,1400
159,15,0,1,1500
160,15,0,1,1600
161,15,0,1,1700
162,15,0,1,1800
163,15,0,1,1900
164,15,0,1,2000
165,16,0,1,1000
166,16,0,1,1100
167,16,0,1,1200
168,16,0,1,1300
169,16,0,1,1400
170,16,0,1,1500
171,16,0,1,1600
172,16,0,1,1700
173,16,0,1,1800
174,16,0,1,1900
175,16,0,1,2000
176,17,0,1,1000
177,17,0,1,1100
178,17,0,1,1200
179,17,0,1,1300
180,17,0,1,1400
181,17,0,1,1500
182,17,0,1,1600
183,17,0,1,1700
184,17,0,1,1800
185,17,0,1,1900
186,17,0,1,2000
187,18,0,1,1000
188,18,0,1,1100
189,18,0,1,1200
190,18,0,1,1300
191,18,0,1,1400
192,18,0,1,1500
193,18,0,1,1600
194,18,0,1,1700
195,18,0,1,1800
196,18,0,1,1900
197,18,0,1,2000
198,19,0,1,1000
199,19,0,1,1100
200,19,0,1,1200
201,19,0,1,1300
202,19,0,1,1400
203,19,0,1,1500
204,19,0,1,1600
205,19,0,1,1700
206,19,0,1,1800
207,19,0,1,1900
208,19,0,1,2000
209,20,0,1,1000
210,20,0,1,1100
211,20,0,1,1200
212,20,0,1,1300
213,20,0,1,1400
214,20,0,1,1500
215,20,0,1,1600
216,20,0,1,1700
217,20,0,1,1800
218,20,0,1,1900
219,20,0,1,2000
220,21,0,1,1000
221,21,0,1,1100
222,21,0,1,1200
223,21,0,1,1300
224,21,0,1,1400
225,21,0,1,1500
226,21,0,1,1600
227,21,0,1,1700
228,21,0,1,1800
229,21,0,1,1900
230,21,0,1,2000
231,22,0,1,1000
232,22,0,1,1100
233,22,0,1,1200
234,22,0,1,1300
235,22,0,1,1400
236,22,0,1,1500
237,22,0,1,1600
238,22,0,1,1700
239,22,0,1,1800
240,22,0,1,1900
241,22,0,1,2000
242,23,0,1,1000
243,23,0,1,1100
244,23,0,1,1200
245,23,0,1,1300
246,23,0,1,1400
247,23,0,1,1500
248,23,0,1,1600
249,23,0,1,1700
250,23,0,1,1800
251,23,0,1,1900
252,23,0,1,2000
253,24,0,1,1000
254,24,0,1,1100
255,24,0,1,1200
256,24,0,1,1300
257,24,0,1,1400
258,24,0,1,1500
259,24,0,1,1600
260,24,0,1,1700
261,24,0,1,1800
262,24,0,1,1900
263,24,0,1,2000
264,25,0,1,1000
265,25,0,1,1100
266,25,0,1,1200
267,25,0,1,1300
268,25,0,1,1400
269,25,0,1,1500
270,25,0,1,1600
271,25,0,1,1700
272,25,0,1,1800
273,25,0,1,1900
274,25,0,1,2000
275,26,0,1,1000
276,26,0,1,1100
277,26,0,1,1200
278,26,0,1,1300
279,26,0,1,1400
280,26,0,1,1500
281,26,0,1,1600
282,26,0,1,1700
283,26,0,1,1800
284,26,0,1,1900
285,26,0,1,2000
286,27,0,1,1000
287,27,0,1,1100
288,27,0,1,1200
289,27,0,1,1300
290,27,0,1,1400
291,27,0,1,1500
292,27,0,1,1600
293,27,0,1,1700
294,27,0,1,1800
295,27,0,1,1900
296,27,0,1,2000
297,28,0,1,1000
298,28,0,1,1100
299,28,0,1,1200
300,28,0,1,1300
301,28,0,1,1400
302,28,0,1,1500
303,28,0,1,1600
304,28,0,1,1700
305,28,0,1,1800
306,28,0,1,1900
307,28,0,1,2000
308,29,0,1,1000
309,29,0,1,1100
310,29,0,1,1200
311,29,0,1,1300
312,29,0,1,1400
313,29,0,1,1500
314,29,0,1,1600
315,29,0,1,1700
316,29,0,1,1800
317,29,0,1,1900
318,29,0,1,2000
319,30,0,1,1000
320,30,0,1,1100
321,30,0,1,1200
322,30,0,1,1300
323,30,0,1,1400
324,30,0,1,1500
325,30,0,1,1600
326,30,0,1,1700
327,30,0,1,1800
328,30,0,1,1900
329,30,0,1,2000
330,31,0,1,1000
331,31,0,1,1100
332,31,0,1,1200
333,31,0,1,1300
334,31,0,1,1400
335,31,0,1,1500
336,31,0,1,1600
337,31,0,1,1700
338,31,0,1,1800
339,31,0,1,1900
340,31,0,1,2000
341,32,0,1,1000
342,32,0,1,1100
343,32,0,1,1200
344,32,0,1,1300
345,32,0,1,1400
346,32,0,1,1500
347,32,0,1,1600
348,32,0,1,1700
349,32,0,1,1800
350,32,0,1,1900
351,32,0,1,2000
352,33,0,1,1000
353,33,0,1,1100
354,33,0,1,1200
355,33,0,1,1300
356,33,0,1,1400
357,33,0,1,1500
358,33,0,1,1600
359,33,0,1,1700
360,33,0,1,1800
361,33,0,1,1900
362,33,0,1,2000
363,34,0,1,1000
364,34,0,1,1100
365,34,0,1,1200
366,34,0,1,1300
367,34,0,1,1400
368,34,0,1,1500
369,34,0,1,1600
370,34,0,1,1700
371,34,0,1,1800
372,34,0,1,1900
373,34,0,1,2000
374,35,0,1,1000
375,35,0,1,1100
376,35,0,1,1200
377,35,0,1,1300
378,35,0,1,1400
379,35,0,1,1500
380,35,0,1,1600
381,35,0,1,1700
382,35,0,1,1800
383,35,0,1,1900
384,35,0,1,2000
385,36,0,1,1000
386,36,0,1,1100
387,36,0,1,1200
388,36,0,1,1300
389,36,0,1,1400
390,36,0,1,1500
391,36,0,1,1600
392,36,0,1,1700
393,36,0,1,1800
394,36,0,1,1900
395,36,0,1,2000
396,37,0,1,1000
397,37,0,1,1100
398,37,0,1,1200
399,37,0,1,1300
400,37,0,1,1400
401,37,0,1,1500
402,37,0,1,1600
403,37,0,1,1700
404,37,0,1,1800
405,37,0,1,1900
406,37,0,1,2000
407,38,0,1,1000
408,38,0,1,1100
409,38,0,1,1200
410,38,0,1,1300
411,38,0,1,1400
412,38,0,1,1500
413,38,0,1,1600
414,38,0,1,1700
415,38,0,1,1800
416,38,0,1,1900
417,38,0,1,2000
418,39,0,1,1000
419,39,0,1,1100
420,39,0,1,1200
421,39,0,1,1300
422,39,0,1,1400
423,39,0,1,1500
424,39,0,1,1600
425,39,0,1,1700
426,39,0,1,1800
427,39,0,1,1900
428,39,0,1,2000
429,40,0,1,1000
430,40,0,1,1100
431,40,0,1,1200
432,40,0,1,1300
433,40,0,1,1400
434,40,0,1,1500
435,40,0,1,1600
436,40,0,1,1700
437,40,0,1,1800
438,40,0,1,1900
439,40,0,1,2000
440,41,0,1,1000
441,41,0,1,1100
442,41,0,1,1200
443,41,0,1,1300
444,41,0,1,1400
445,41,0,1,1500
446,41,0,1,1600
447,41,0,1,1700
448,41,0,1,1800
449,41,0,1,1900
450,41,0,1,2000
451,42,0,1,1000
452,42,0,1,1100
453,42,0,1,1200
454,42,0,1,1300
455,42,0,1,1400
456,42,0,1,1500
457,42,0,1,1600
458,42,0,1,1700
459,42,0,1,1800
460,42,0,1,1900
461,42,0,1,2000
462,43,0,1,1000
463,43,0,1,1100
464,43,0,1,1200
465,43,0,1,1300
466,43,0,1,1400
467,43,0,1,1500
468,43,0,1,1600
469,43,0,1,1700
470,43,0,1,1800
471,43,0,1,1900
472,43,0,1,2000
473,44,0,1,1000
474,44,0,1,1100
475,44,0,1,1200
476,44,0,1,1300
477,44,0,1,1400
478,44,0,1,1500
479,44,0,1,1600
480,44,0,1,1700
481,44,0,1,1800
482,44,0,1,1900
483,44,0,1,2000
484,45,0,1,1000
485,45,0,1,1100
486,45,0,1,1200
487,45,0,1,1300
488,45,0,1,1400
489,45,0,1,1500
490,45,0,1,1600
491,45,0,1,1700
492,45,0,1,1800
493,45,0,1,1900
494,45,0,1,2000
495,46,0,1,1000
496,46,0,1,1100
497,46,0,1,1200
498,46,0,1,1300
499,46,0,1,1400
500,46,0,1,1500
501,46,0,1,1600
502,46,0,1,1700
503,46,0,1,1800
504,46,0,1,1900
505,46,0,1,2000
506,47,0,1,1000
507,47,0,1,1100
508,47,0,1,1200
509,47,0,1,1300
510,47,0,1,1400
511,47,0,1,1500
512,47,0,1,1600
513,47,0,1,1700
514,47,0,1,1800
515,47,0,1,1900
516,47,0,1,2000
517,48,0,1,1000
518,48,0,1,1100
519,48,0,1,1200
520,48,0,1,1300
521,48,0,1,1400
522,48,0,1,1500
523,48,0,1,1600
524,48,0,1,1700
525,48,0,1,1800
526,48,0,1,1900
527,48,0,1,2000
528,49,0,1,1000
529,49,0,1,1100
530,49,0,1,1200
531,49,0,1,1300
532,49,0,1,1400
533,49,0,1,1500
534,49,0,1,1600
535,49,0,1,1700
536,49,0,1,1800
537,49,0,1,1900
538,49,0,1,2000
539,50,0,1,1000
540,50,0,1,1100
541,50,0,1,1200
542,50,0,1,1300
543,50,0,1,1400
544,50,0,1,1500
545,50,0,1,1600
546,50,0,1,1700
547,50,0,1,1800
548,50,0,1,1900
549,50,0,1,2000
550,51,0,1,1000
551,51,0,1,1100
552,51,0,1,1200
553,51,0,1,1300
554,51,0,1,1400
555,51,0,1,1500
556,51,0,1,1600
557,51,0,1,1700
558,51,0,1,1800
559,51,0,1,1900
560,51,0,1,2000
561,52,0,1,1000
562,52,0,1,1100
563,52,0,1,1200
564,52,0,1,1300
565,52,0,1,1400
566,52,0,1,1500
567,52,0,1,1600
568,52,0,1,1700
569,52,0,1,1800
570,52,0,1,1900
571,52,0,1,2000
572,53,0,1,1000
573,53,0,1,1100
574,53,0,1,1200
575,53,0,1,1300
576,53,0,1,1400
577,53,0,1,1500
578,53,0,1,1600
579,53,0,1,1700
580,53,0,1,1800
581,53,0,1,1900
582,53,0,1,2000
583,54,0,1,1000
584,54,0,1,1100
585,54,0,1,1200
586,54,0,1,1300
587,54,0,1,1400
588,54,0,1,1500
589,54,0,1,1600
590,54,0,1,1700
591,54,0,1,1800
592,54,0,1,1900
593,54,0,1,2000
594,55,0,1,1000
595,55,0,1,1100
596,55,0,1,1200
597,55,0,1,1300
598,55,0,1,1400
599,55,0,1,1500
600,55,0,1,1600
601,55,0,1,1700
602,55,0,1,1800
603,55,0,1,1900
604,55,0,1,2000
605,56,0,1,1000
606,56,0,1,1100
607,56,0,1,1200
608,56,0,1,1300
609,56,0,1,1400
610,56,0,1,1500
611,56,0,1,1600
612,56,0,1,1700
613,56,0,1,1800
614,56,0,1,1900
615,56,0,1,2000
616,57,0,1,1000
617,57,0,1,1100
618,57,0,1,1200
619,57,0,1,1300
620,57,0,1,1400
621,57,0,1,1500
622,57,0,1,1600
623,57,0,1,1700
624,57,0,1,1800
625,57,0,1,1900
626,57,0,1,2000
627,58,0,1,1000
628,58,0,1,1100
629,58,0,1,1200
630,58,0,1,1300
631,58,0,1,1400
632,58,0,1,1500
633,58,0,1,1600
634,58,0,1,1700
635,58,0,1,1800
636,58,0,1,1900
637,58,0,1,2000
638,59,0,1,1000
639,59,0,1,1100
640,59,0,1,1200
641,59,0,1,1300
642,59,0,1,1400
643,59,0,1,1500
644,59,0,1,1600
645,59,0,1,1700
646,59,0,1,1800
647,59,0,1,1900
648,59,0,1,2000
649,60,0,1,1000
650,60,0,1,1100
651,60,0,1,1200
652,60,0,1,1300
653,60,0,1,1400
654,60,0,1,1500
655,60,0,1,1600
656,60,0,1,1700
657,60,0,1,1800
658,60,0,1,1900
659,60,0,1,2000
660,61,0,1,1000
661,61,0,1,1100
662,61,0,1,1200
663,61,0,1,1300
664,61,0,1,1400
665,61,0,1,1500
666,61,0,1,1600
667,61,0,1,1700
668,61,0,1,1800
669,61,0,1,1900
670,61,0,1,2000
671,62,0,1,1000
672,62,0,1,1100
673,62,0,1,1200
674,62,0,1,1300
675,62,0,1,1400
676,62,0,1,1500
677,62,0,1,1600
678,62,0,1,1700
679,62,0,1,1800
680,62,0,1,1900
681,62,0,1,2000
682,63,0,1,1000
683,63,0,1,1100
684,63,0,1,1200
685,63,0,1,1300
686,63,0,1,1400
687,63,0,1,1500
688,63,0,1,1600
689,63,0,1,1700
690,63,0,1,1800
691,63,0,1,1900
692,63,0,1,2000
693,64,0,1,1000
694,64,0,1,1100
695,64,0,1,1200
696,64,0,1,1300
697,64,0,1,1400
698,64,0,1,1500
699,64,0,1,1600
700,64,0,1,1700
701,64,0,1,1800
702,64,0,1,1900
703,64,0,1,2000
704,65,0,1,1000
705,65,0,1,1100
706,65,0,1,1200
707,65,0,1,1300
708,65,0,1,1400
709,65,0,1,1500
710,65,0,1,1600
711,65,0,1,1700
712,65,0,1,1800
713,65,0,1,1900
714,65,0,1,2000
715,66,0,1,1000
716,66,0,1,1100
717,66,0,1,1200
718,66,0,1,1300
719,66,0,1,1400
720,66,0,1,1500
721,66,0,1,1600
722,66,0,1,1700
723,66,0,1,1800
724,66,0,1,1900
725,66,0,1,2000
726,67,0,1,1000
727,67,0,1,1100
728,67,0,1,1200
729,67,0,1,1300
730,67,0,1,1400
731,67,0,1,1500
732,67,0,1,1600
733,67,0,1,1700
734,67,0,1,1800
735,67,0,1,1900
736,67,0,1,2000
737,68,0,1,1000
738,68,0,1,1100
739,68,0,1,1200
740,68,0,1,1300
741,68,0,1,1400
742,68,0,1,1500
743,68,0,1,1600
744,68,0,1,1700
745,68,0,1,1800
746,68,0,1,1900
747,68,0,1,2000
748,69,0,1,1000
749,69,0,1,1100
750,69,0,1,1200
751,69,0,1,1300
752,69,0,1,1400
753,69,0,1,1500
754,69,0,1,1600
755,69,0,1,1700
756,69,0,1,1800
757,69,0,1,1900
758,69,0,1,2000
759,70,0,1,1000
760,70,0,1,1100
761,70,0,1,1200
762,70,0,1,1300
763,70,0,1,1400
764,70,0,1,1500
765,70,0,1,1600
766,70,0,1,1700
767,70,0,1,1800
768,70,0,1,1900
769,70,0,1,2000
770,71,0,1,1000
771,71,0,1,1100
772,71,0,1,1200
773,71,0,1,1300
774,71,0,1,1400
775,71,0,1,1500
776,71,0,1,1600
777,71,0,1,1700
778,71,0,1,1800
779,71,0,1,1900
780,71,0,1,2000
781,72,0,1,1000
782,72,0,1,1100
783,72,0,1,1200
784,72,0,1,1300
785,72,0,1,1400
786,72,0,1,1500
787,72,0,1,1600
788,72,0,1,1700
789,72,0,1,1800
790,72,0,1,1900
791,72,0,1,2000
792,73,0,1,1000
793,73,0,1,1100
794,73,0,1,1200
795,73,0,1,1300
796,73,0,1,1400
797,73,0,1,1500
798,73,0,1,1600
799,73,0,1,1700
800,73,0,1,1800
801,73,0,1,1900
802,73,0,1,2000
803,74,0,1,1000
804,74,0,1,1100
805,74,0,1,1200
806,74,0,1,1300
807,74,0,1,1400
808,74,0,1,1500
809,74,0,1,1600
810,74,0,1,1700
811,74,0,1,1800
812,74,0,1,1900
813,74,0,1,2000
814,75,0,1,1000
815,75,0,1,1100
816,75,0,1,1200
817,75,0,1,1300
818,75,0,1,1400
819,75,0,1,1500
820,75,0,1,1600
821,75,0,1,1700
822,75,0,1,1800
823,75,0,1,1900
824,75,0,1,2000
825,76,0,1,1000
826,76,0,1,1100
827,76,0,1,1200
828,76,0,1,1300
829,76,0,1,1400
830,76,0,1,1500
831,76,0,1,1600
832,76,0,1,1700
833,76,0,1,1800
834,76,0,1,1900
835,76,0,1,2000
836,77,0,1,1000
837,77,0,1,1100
838,77,0,1,1200
839,77,0,1,1300
840,77,0,1,1400
841,77,0,1,1500
