index,prior,eos,kr,wag_days
0,1,0,1,60
1,1,0,1,100
2,1,0,1,140
3,1,0,1,180
4,1,0,1,220
5,1,0,1,260
6,1,0,1,300
7,2,0,1,60
8,2,0,1,100
9,2,0,1,140
10,2,0,1,180
11,2,0,1,220
12,2,0,1,260
13,2,0,1,300
14,3,0,1,60
15,3,0,1,100
16,3,0,1,140
17,3,0,1,180
18,3,0,1,220
19,3,0,1,260
20,3,0,1,300
21,4,0,1,60
22,4,0,1,100
23,4,0,1,140
24,4,0,1,180
25,4,0,1,220
26,4,0,1,260
27,4,0,1,300
28,5,0,1,60
29,5,0,1,100
30,5,0,1,140
31,5,0,1,180
32,5,0,1,220
33,5,0,1,260
34,5,0,1,300
35,6,0,1,60
36,6,0,1,100
37,6,0,1,140
38,6,0,1,180
39,6,0,1,220
40,6,0,1,260
41,6,0,1,300
42,7,0,1,60
43,7,0,1,100
44,7,0,1,140
45,7,0,1,180
46,7,0,1,220
47,7,0,1,260
48,7,0,1,300
49,8,0,1,60
50,8,0,1,100
51,8,0,1,140
52,8,0,1,180
53,8,0,1,220
54,8,0,1,260
55,8,0,1,300
56,9,0,1,60
57,9,0,1,100
58,9,0,1,140
59,9,0,1,180
60,9,0,1,220
61,9,0,1,260
62,9,0,1,300
63,10,0,1,60
64,10,0,1,100
65,10,0,1,140
66,10,0,1,180
67,10,0,1,220
68,10,0,1,260
69,10,0,1,300
70,11,0,1,60
71,11,0,1,100
72,11,0,1,140
73,11,0,1,180
74,11,0,1,220
75,11,0,1,260
76,11,0,1,300
77,12,0,1,60
78,12,0,1,100
79,12,0,1,140
80,12,0,1,180
81,12,0,1,220
82,12,0,1,260
83,12,0,1,300
84,13,0,1,60
85,13,0,1,100
86,13,0,1,140
87,13,0,1,180
88,13,0,1,220
89,13,0,1,260
90,13,0,1,300
91,14,0,1,60
92,14,0,1,100
93,14,0,1,140
94,14,0,1,180
95,14,0,1,220
96,14,0,1,260
97,14,0,1,300
98,15,0,1,60
99,15,0,1,100
