index,prior,layer,sch
0,1,0,1
1,1,0,2
2,1,0,3
3,1,1,1
4,1,1,2
5,1,1,3
6,1,2,1
7,1,2,2
8,1,2,3
9,1,3,1
10,1,3,2
11,1,3,3
12,1,4,1
13,1,4,2
14,1,4,3
15,1,5,1
16,1,5,2
17,1,5,3
18,1,6,1
19,1,6,2
20,1,6,3
21,1,7,1
22,1,7,2
23,1,7,3
24,1,8,1
25,1,8,2
26,1,8,3
27,1,9,1
28,1,9,2
29,1,9,3
30,1,10,1
31,1,10,2
32,1,10,3
33,1,11,1
34,1,11,2
35,1,11,3
36,1,12,1
37,1,12,2
38,1,12,3
39,1,13,1
40,1,13,2
41,1,13,3
42,1,14,1
43,1,14,2
44,1,14,3
45,1,15,1
46,1,15,2
47,1,15,3
48,1,16,1
49,1,16,2
50,1,16,3
51,1,17,1
52,1,17,2
53,1,17,3
54,1,18,1
55,1,18,2
56,1,18,3
57,1,19,1
58,1,19,2
59,1,19,3
60,1,20,1
61,1,20,2
62,1,20,3
63,1,21,1
64,1,21,2
65,1,21,3
66,1,22,1
67,1,22,2
68,1,22,3
69,1,23,1
70,1,23,2
71,1,23,3
72,1,24,1
73,1,24,2
74,1,24,3
75,1,25,1
76,1,25,2
77,1,25,3
78,1,26,1
79,1,26,2
80,1,26,3
81,1,27,1
82,1,27,2
83,1,27,3
84,1,28,1
85,1,28,2
86,1,28,3
87,1,29,1
88,1,29,2
89,1,29,3
90,1,30,1
91,1,30,2
92,1,30,3
93,1,31,1
94,1,31,2
95,1,31,3
96,1,32,1
97,1,32,2
98,1,32,3
99,1,33,1
100,1,33,2
101,1,33,3
102,1,34,1
103,1,34,2
104,1,34,3
105,1,35,1
106,1,35,2
107,1,35,3
108,1,36,1
109,1,36,2
110,1,36,3
111,1,37,1
112,1,37,2
113,1,37,3
114,1,38,1
115,1,38,2
116,1,38,3
117,1,39,1
118,1,39,2
119,1,39,3
120,1,40,1
121,1,40,2
122,1,40,3
123,1,41,1
124,1,41,2
125,1,41,3
126,1,42,1
127,1,42,2
128,1,42,3
129,1,43,1
130,1,43,2
131,1,43,3
132,1,44,1
133,1,44,2
134,1,44,3
135,1,45,1
136,1,45,2
137,1,45,3
138,1,46,1
139,1,46,2
140,1,46,3
141,1,47,1
142,1,47,2
143,1,47,3
144,1,48,1
145,1,48,2
146,1,48,3
147,1,49,1
148,1,49,2
149,1,49,3
150,1,50,1
151,1,50,2
152,1,50,3
153,1,51,1
154,1,51,2
155,1,51,3
156,1,52,1
157,1,52,2
158,1,52,3
159,1,53,1
160,1,53,2
161,1,53,3
162,1,54,1
163,1,54,2
164,1,54,3
165,1,55,1
166,1,55,2
167,1,55,3
168,1,56,1
169,1,56,2
170,1,56,3
171,1,57,1
172,1,57,2
173,1,57,3
174,1,58,1
175,1,58,2
176,1,58,3
177,1,59,1
178,1,59,2
179,1,59,3
180,1,60,1
181,1,60,2
182,1,60,3
183,1,61,1
184,1,61,2
185,1,61,3
186,1,62,1
187,1,62,2
188,1,62,3
189,1,63,1
190,1,63,2
191,1,63,3
192,1,64,1
193,1,64,2
194,1,64,3
195,1,65,1
196,1,65,2
197,1,65,3
198,1,66,1
199,1,66,2
200,1,66,3
201,1,67,1
202,1,67,2
203,1,67,3
204,1,68,1
205,1,68,2
206,1,68,3
207,1,69,1
208,1,69,2
209,1,69,3
210,1,70,1
211,1,70,2
212,1,70,3
213,1,71,1
214,1,71,2
215,1,71,3
216,1,72,1
217,1,72,2
218,1,72,3
219,1,73,1
220,1,73,2
221,1,73,3
222,1,74,1
223,1,74,2
224,1,74,3
225,1,75,1
226,1,75,2
227,1,75,3
228,1,76,1
229,1,76,2
230,1,76,3
231,1,77,1
232,1,77,2
233,1,77,3
234,1,78,1
235,1,78,2
236,1,78,3
237,1,79,1
238,1,79,2
239,1,79,3
240,1,80,1
241,1,80,2
242,1,80,3
243,1,81,1
244,1,81,2
245,1,81,3
246,1,82,1
247,1,82,2
248,1,82,3
249,1,83,1
250,1,83,2
251,1,83,3
252,1,84,1
253,1,84,2
254,1,84,3
255,1,85,1
256,1,85,2
257,1,85,3
258,1,86,1
259,1,86,2
260,1,86,3
261,1,87,1
262,1,87,2
263,1,87,3
264,1,88,1
265,1,88,2
266,1,88,3
267,1,89,1
268,1,89,2
269,1,89,3
270,1,90,1
271,1,90,2
272,1,90,3
273,1,91,1
274,1,91,2
275,1,91,3
276,10,0,1
277,10,0,2
278,10,0,3
279,10,1,1
280,10,1,2
281,10,1,3
282,10,2,1
283,10,2,2
284,10,2,3
285,10,3,1
286,10,3,2
287,10,3,3
288,10,4,1
289,10,4,2
290,10,4,3
291,10,5,1
292,10,5,2
293,10,5,3
294,10,6,1
295,10,6,2
296,10,6,3
297,10,7,1
298,10,7,2
299,10,7,3
300,10,8,1
301,10,8,2
302,10,8,3
303,10,9,1
304,10,9,2
305,10,9,3
306,10,10,1
307,10,10,2
308,10,10,3
309,10,11,1
310,10,11,2
311,10,11,3
312,10,12,1
313,10,12,2
314,10,12,3
315,10,13,1
316,10,13,2
317,10,13,3
318,10,14,1
319,10,14,2
320,10,14,3
321,10,15,1
322,10,15,2
323,10,15,3
324,10,16,1
325,10,16,2
326,10,16,3
